#SAVEDid  xmeAGN      xfAGN       xeAGN      xmeSFR       xfSFR       xeSFR       xfTOT       xeTOT       xf_zz       xe_zz
#
6        4.894       5.917       3.924       25.94       25.84       4.189       31.01       1.425       1.035           0
18       1.756         2.8         2.8       4.735       5.395       5.395       6.008       4.783       1.018      0.1799
35           0     0.03946     0.03946         0.5        0.25        0.25        0.25        0.25       0.201         0.2
36    0.002185     0.07725     0.07725       2.467       3.199       2.043       3.224       2.018      0.3467         0.1
38           0       26.69       26.69       478.8       444.5       113.6         462         131        3.78        0.43
44   1.073e-07   3.246e-07   3.246e-07       178.6       190.3       11.71       190.3       11.71       3.498      0.0655
48          11       14.19       14.19       30.78       39.58       38.98       53.27       37.44        2.26       0.293
50        5.86       8.172       8.172       7.916       10.32       10.32       12.11       8.642         1.4       0.216
56       8.815       10.07       10.07       56.04       43.04       41.78       47.41       37.96        2.41       0.307
64           0       2.658       2.658       17.49       14.19       7.529       14.94       8.179       1.412      0.1705
65        4.98       5.509       5.509       3.847       10.57       10.57       12.72       8.411        2.07       0.276
91     0.06942      0.1716      0.1716      0.1681      0.4752      0.4752       0.531      0.4437       0.485        0.12
95       6.436       7.361       6.873       0.884       6.748       6.748       10.32       5.935        2.16       0.284
106       16.31        14.9       5.755       105.8       108.2       14.88       122.8       12.19       2.118       0.027
107      0.5135      0.4883      0.3446       3.606       3.347       1.372       3.627       1.244      0.6933        0.07
112      0.6344       2.831       2.831       15.85       13.12       4.747       14.05        3.82       1.195        0.03
123   6.763e-08   2.123e-07   2.123e-07       31.62          39       7.719          39       7.719       2.683       0.078
126       5.508       8.494       8.494        13.8       14.88       14.88       17.92       11.84       1.463       0.186
127      0.1607      0.3184      0.3184        8.97       8.705      0.5362       9.018      0.2228       0.582           0
130           0       19.12       19.12        1175        1010       178.1        1022       190.3       4.542       0.366
132       3.907       3.427       1.725           0       1.537       1.537       3.814        1.72       1.321           0
135       5.192       4.208       4.208       5.075        7.46        7.46       9.156       7.084       1.422       0.183
142       36.49       36.59       21.03       66.07       70.24       20.94       104.6       7.157       2.177       0.015
145     0.07229     0.06282     0.06282       0.696      0.6954      0.1466      0.7648     0.09634        0.28           0
152       0.158       0.177       0.177       2.553       2.794       1.493       2.882       1.406      0.4177        0.08
158       26.78       28.06       7.734       212.6       208.5        17.9       232.3       15.67       2.045      0.0515
162           0      0.7536      0.7536       233.6       232.2       1.405       232.9        0.78       1.256           0
169   5.503e-08       2.402       2.402       16.38       9.183       7.197       10.63       5.746        2.04       0.274
175       20.85       21.69       6.532       47.91       44.18       10.85       63.81       9.539       1.821      0.0355
179         4.9       5.328       3.332       44.64          45       5.004       49.86       3.007       1.779      0.0115
180           0       2.994       2.994       12.83       9.213       6.103       10.47       4.847        1.31        0.09
185       576.4        1760        1607       69.04       92.68       92.68        1798        1569       5.701         2.2
186       6.671        6.18       3.632       7.496       7.628        5.51       13.37       3.639       1.259           0
207   4.617e-08      0.7159      0.7159       23.58       19.49       4.095       19.62        3.96       2.006      0.0895
208           0       1.621       1.621       20.48        15.7       4.782       16.58       3.901       1.865      0.1105
213           0      0.1996      0.1996       30.48       30.16       0.318       30.35      0.1307      0.5044           0
214       22.84       30.03       30.03       155.9       152.6       51.27       172.7       31.08       2.746       0.047
216     0.02413     0.02337     0.01576      0.2163      0.2174     0.04828      0.2411     0.03288       0.159           0
217       21.07        25.9       20.96       139.1       139.5       32.89       169.2       22.97       2.681       0.053
227           0      0.6699      0.6699       3.095       2.699       2.442       3.314       2.026       0.921        0.01
239   9.293e-08    3.09e-07    3.09e-07       97.75         111        34.4         111        34.4       3.203       0.254
242       4.773       3.972       3.647           0       7.394       7.394       8.887       6.346       1.351      0.1665
