#         z_low         z_high     lgoneplusz          CSFRD         eCSFRD         cCSFRD          fcorr                 SMF
# Below are 1/Vmax and boostrapping CSFRD from GOODSN Superdeblending 201612 goodArea SNR>=5 sources
              0            0.2      0.0413927       -1.86632       0.155211       -1.86632              1              Muzzin
              0            0.2      0.0413927       -1.86632       0.155211       -1.86632              1              Ilbert
              0            0.2      0.0413927       -1.86632       0.155211       -1.86632              1            Davidzon
            0.2            0.4       0.113943       -1.81793       0.113545       -1.80478       0.970175              Muzzin
            0.2            0.4       0.113943       -1.81793       0.113545       -1.83018         1.0286              Ilbert
            0.2            0.4       0.113943       -1.81793       0.113545       -1.77575       0.907448            Davidzon
            0.4            0.6       0.176091       -1.35024      0.0759047       -1.31646       0.925168              Muzzin
            0.4            0.6       0.176091       -1.35024      0.0759047       -1.33275       0.960522              Ilbert
            0.4            0.6       0.176091       -1.35024      0.0759047       -1.29482       0.880187            Davidzon
            0.6            0.8       0.230449       -1.52682      0.0988808       -1.47138       0.880161              Muzzin
            0.6            0.8       0.230449       -1.52682      0.0988808        -1.4774        0.89244              Ilbert
            0.6            0.8       0.230449       -1.52682      0.0988808       -1.45773       0.852926            Davidzon
            0.8              1       0.278754       -1.19746      0.0677172       -1.13566        0.86735              Muzzin
            0.8              1       0.278754       -1.19746      0.0677172       -1.13559       0.867224              Ilbert
            0.8              1       0.278754       -1.19746      0.0677172       -1.12268       0.841826            Davidzon
              1            1.5       0.352183       -1.26375      0.0603145       -1.20012       0.863713              Muzzin
              1            1.5       0.352183       -1.26375      0.0603145        -1.1922       0.848099              Ilbert
              1            1.5       0.352183       -1.26375      0.0603145       -1.18378       0.831826            Davidzon
            1.5              2       0.439333       -1.38473      0.0731284       -1.24105       0.718323              Muzzin
            1.5              2       0.439333       -1.38473      0.0731284       -1.23486       0.708162              Ilbert
            1.5              2       0.439333       -1.38473      0.0731284       -1.15152       0.584513            Davidzon
              2            2.5       0.511883       -1.17218      0.0581015       -1.10185       0.850477              Muzzin
              2            2.5       0.511883       -1.17218      0.0581015      -0.986797       0.652547              Ilbert
              2            2.5       0.511883       -1.17218      0.0581015      -0.809709       0.434034            Davidzon
            2.5              3       0.574031       -1.53237       0.152402       -1.50642       0.941993              Muzzin
            2.5              3       0.574031       -1.53237       0.152402       -1.32003       0.613272              Ilbert
            2.5              3       0.574031       -1.53237       0.152402       -1.15827       0.422571            Davidzon
              3              4       0.653213       -1.35587      0.0902826       -1.26607       0.813207              Muzzin
              3              4       0.653213       -1.35587      0.0902826       -1.12353       0.585681              Ilbert
              3              4       0.653213       -1.35587      0.0902826      -0.765256       0.256677            Davidzon
              4              5       0.740363       -1.61953       0.145371       -1.31283       0.493515     Madau&Dickinson
              5              6       0.812913       -2.07256       0.141698       -1.62166       0.354079     Madau&Dickinson
